Price,Promotional_Price,Url
,"629,-",https://www.coolblue.nl/en/product/813168/hp-pavilion-x360-14-cd0937nd.html
"1.369,-","1.249,-",https://www.coolblue.nl/en/product/813069/hp-pavilion-g15-cx0500nd.html
,"429,-",https://www.coolblue.nl/en/product/813175/hp-17-by0909nd.html
,"999,-",https://www.coolblue.nl/en/product/826554/huawei-matebook-13-53010gbf.html
,"499,-",https://www.coolblue.nl/en/product/812999/lenovo-ideapad-330-15ikbr-81de0188mh.html
,"669,-",https://www.coolblue.nl/en/product/827060/asus-vivobook-x705ua-gc462t.html
"849,-","799,-",https://www.coolblue.nl/en/product/818794/lenovo-thinkpad-e585-ryzen-5-8gb-256gb-ssd.html
,"369,-",https://www.coolblue.nl/en/product/812661/acer-aspire-3-a315-21-68g4.html
"369,-","339,-",https://www.coolblue.nl/en/product/813309/asus-vivobook-r414ba-fa180t.html
"1.799,-","1.649,-",https://www.coolblue.nl/en/product/821648/lenovo-yoga-c930-13ikb-81c4001dmh.html
,"1.479,-",https://www.coolblue.nl/en/product/812638/acer-predator-helios-ph317-52-74nb.html
"1.699,-","1.599,-",https://www.coolblue.nl/en/product/810031/hp-elitebook-850-g5-i5-8gb-256ssd.html
"329,-","279,65",https://www.coolblue.nl/en/product/815069/hp-chromebook-14-ca040nd.html
"1.449,-","1.399,-",https://www.coolblue.nl/en/product/813023/lenovo-yoga-730-15ikb-81cu004gmh.html
"349,-","319,-",https://www.coolblue.nl/en/product/706448/acer-chromebook-14-cb3-431-c5k7.html
,"1.899,-",https://www.coolblue.nl/en/product/815161/hp-omen-17-an104nd.html
,"299,-",https://www.coolblue.nl/en/product/817286/lenovo-chromebook-c330-81hy0005mh.html
,"2.799,-",https://www.coolblue.nl/en/product/816393/apple-macbook-pro-15-inches-touch-bar-2018-mr972n-a-silver.html
,"1.399,-",https://www.coolblue.nl/en/product/825155/asus-zenbook-ux333fn-a3064t.html
,"1.299,-",https://www.coolblue.nl/en/product/812636/acer-predator-helios-ph317-52-784w.html
,"1.349,-",https://www.coolblue.nl/en/product/824267/microsoft-surface-pro-6-i5-8gb-256gb.html
"529,-","499,-",https://www.coolblue.nl/en/product/825170/lenovo-ideapad-330-15arr-81d200mcmh.html
,"1.189,-",https://www.coolblue.nl/en/product/825058/hp-probook-450-g6-i7-8gb-256ssd.html
,"1.149,-",https://www.coolblue.nl/en/product/817052/msi-gf63-8rc-052nl.html
"429,-","389,-",https://www.coolblue.nl/en/product/790839/acer-chromebook-r13-cb5-312t-k5g1.html
"469,-","449,-",https://www.coolblue.nl/en/product/816241/acer-swift-1-sf114-32-p7fa.html
,"2.089,-",https://www.coolblue.nl/en/product/822697/apple-macbook-air-13-3-inches-2018-16-512gb-1-6ghz-space-gray.html
,"1.429,-",https://www.coolblue.nl/en/product/825059/hp-probook-450-g6-i7-16gb-256ssd-1tb-mx130.html
,"599,-",https://www.coolblue.nl/en/product/827061/asus-vivobook-x705ua-bx615t.html
"329,-","299,-",https://www.coolblue.nl/en/product/790845/acer-chromebook-r11-cb5-132t-c14k.html
,"1.649,-",https://www.coolblue.nl/en/product/817421/lenovo-thinkpad-t580-i7-16gb-512gb-ssd.html
,"949,-",https://www.coolblue.nl/en/product/812679/acer-aspire-7-a715-72g-56bc.html
"329,-","299,-",https://www.coolblue.nl/en/product/741437/acer-chromebook-15-cb3-532-c8e0.html
,"1.079,-",https://www.coolblue.nl/en/product/817404/lenovo-thinkpad-e480-i7-8gb-256gb-ssd.html
,"2.559,-",https://www.coolblue.nl/en/product/797936/microsoft-surface-book-2-i7-16gb-512gb.html
,"949,-",https://www.coolblue.nl/en/product/825055/hp-probook-450-g6-i3-8gb-128ssd.html
,"479,-",https://www.coolblue.nl/en/product/826403/lenovo-ideapad-320-15ikb-81bg00ykmh.html
"1.949,-","1.849,-",https://www.coolblue.nl/en/product/817424/lenovo-thinkpad-x1-carbon-i7-16gb-512gb-ssd.html
,"449,-",https://www.coolblue.nl/en/product/812953/lenovo-ideapad-330-17ikb-81dk002jmh.html
,"419,-",https://www.coolblue.nl/en/product/813185/hp-15-da0912nd.html
,"529,-",https://www.coolblue.nl/en/product/805378/hp-15-bs191nd.html
,"729,-",https://www.coolblue.nl/en/product/812955/lenovo-ideapad-330-17ikbr-81dm006dmh.html
,"2.719,-",https://www.coolblue.nl/en/product/824543/lenovo-thinkpad-x1-extreme-20mf000tmh.html
,"1.279,-",https://www.coolblue.nl/en/product/809973/hp-probook-470-g5-i5-8gb-128ssd-1tb-930mx.html
,"369,-",https://www.coolblue.nl/en/product/812627/acer-aspire-es1-732-c99v.html
,"1.449,-",https://www.coolblue.nl/en/product/825063/hp-probook-450-g6-i7-16gb-512ssd.html
